Label,Message
ham,Thanks for your help today.
spam,"Claim your lottery reward, click here."
ham,Can you send me the report by tonight?
spam,"Exclusive deal, act now before it's gone."
ham,See you at the office later.
spam,Get cheap loans with no credit check!
spam,Work from home and earn $500 per day.
spam,Special promotion only for you.
ham,Are we still meeting tomorrow?
ham,Let's catch up for coffee next week.
spam,"Congratulations, you have won $1000 cash prize."
ham,Happy birthday! Have a great year ahead.
ham,Are we still meeting tomorrow?
ham,How was your weekend trip?
spam,You are selected for a free vacation package.
spam,Special promotion only for you.
spam,Win a free iPhone now!!!
spam,You are selected for a free vacation package.
ham,Are we still meeting tomorrow?
ham,Can you send me the report by tonight?
ham,Let's catch up for coffee next week.
spam,Win a free iPhone now!!!
spam,Special promotion only for you.
spam,"Exclusive deal, act now before it's gone."
ham,Don't forget to bring the documents.
ham,Can you send me the report by tonight?
ham,Let's catch up for coffee next week.
ham,Please call me when you are free.
ham,Don't forget to bring the documents.
ham,Happy birthday! Have a great year ahead.
ham,Dinner at 7 pm works for me.
spam,Special promotion only for you.
spam,"Congratulations, you have won $1000 cash prize."
ham,Happy birthday! Have a great year ahead.
spam,Get cheap loans with no credit check!
ham,Let's catch up for coffee next week.
ham,Happy birthday! Have a great year ahead.
ham,Can you send me the report by tonight?
ham,See you at the office later.
spam,You are selected for a free vacation package.
ham,Dinner at 7 pm works for me.
ham,How was your weekend trip?
ham,See you at the office later.
spam,Limited offer: Buy 1 get 1 free!!!
spam,You are selected for a free vacation package.
spam,"Claim your lottery reward, click here."
spam,Work from home and earn $500 per day.
ham,Thanks for your help today.
spam,Work from home and earn $500 per day.
ham,Please call me when you are free.
spam,Special promotion only for you.
ham,Are we still meeting tomorrow?
spam,"Claim your lottery reward, click here."
spam,"Exclusive deal, act now before it's gone."
ham,Let's catch up for coffee next week.
spam,"Exclusive deal, act now before it's gone."
spam,Get cheap loans with no credit check!
ham,Let's catch up for coffee next week.
spam,Limited offer: Buy 1 get 1 free!!!
spam,Special promotion only for you.
ham,Can you send me the report by tonight?
spam,Get cheap loans with no credit check!
ham,Please call me when you are free.
spam,"Exclusive deal, act now before it's gone."
spam,Win a free iPhone now!!!
ham,How was your weekend trip?
ham,Happy birthday! Have a great year ahead.
spam,"Claim your lottery reward, click here."
spam,You are selected for a free vacation package.
ham,Thanks for your help today.
spam,You are selected for a free vacation package.
ham,How was your weekend trip?
spam,Win a free iPhone now!!!
ham,Thanks for your help today.
ham,See you at the office later.
ham,Don't forget to bring the documents.
ham,See you at the office later.
spam,Win a free iPhone now!!!
spam,Limited offer: Buy 1 get 1 free!!!
ham,Happy birthday! Have a great year ahead.
ham,Happy birthday! Have a great year ahead.
ham,Happy birthday! Have a great year ahead.
spam,You are selected for a free vacation package.
spam,Get cheap loans with no credit check!
ham,Happy birthday! Have a great year ahead.
spam,"URGENT! Your account needs verification, click link."
ham,Don't forget to bring the documents.
ham,Are we still meeting tomorrow?
spam,You are selected for a free vacation package.
spam,Limited offer: Buy 1 get 1 free!!!
ham,Can you send me the report by tonight?
spam,"Exclusive deal, act now before it's gone."
ham,Please call me when you are free.
spam,"Claim your lottery reward, click here."
ham,Happy birthday! Have a great year ahead.
spam,Limited offer: Buy 1 get 1 free!!!
spam,"Claim your lottery reward, click here."
spam,You are selected for a free vacation package.
ham,See you at the office later.
spam,"Exclusive deal, act now before it's gone."
ham,Let's catch up for coffee next week.
ham,Can you send me the report by tonight?
ham,Happy birthday! Have a great year ahead.
ham,Thanks for your help today.
ham,See you at the office later.
ham,Please call me when you are free.
spam,"Congratulations, you have won $1000 cash prize."
ham,Are we still meeting tomorrow?
spam,"Claim your lottery reward, click here."
ham,Please call me when you are free.
ham,Happy birthday! Have a great year ahead.
spam,Work from home and earn $500 per day.
spam,"Exclusive deal, act now before it's gone."
ham,See you at the office later.
ham,How was your weekend trip?
spam,Work from home and earn $500 per day.
ham,Thanks for your help today.
spam,Win a free iPhone now!!!
spam,You are selected for a free vacation package.
ham,Can you send me the report by tonight?
spam,Get cheap loans with no credit check!
spam,Get cheap loans with no credit check!
spam,You are selected for a free vacation package.
spam,"Congratulations, you have won $1000 cash prize."
spam,You are selected for a free vacation package.
spam,You are selected for a free vacation package.
ham,Dinner at 7 pm works for me.
ham,Can you send me the report by tonight?
ham,Don't forget to bring the documents.
ham,Thanks for your help today.
spam,Get cheap loans with no credit check!
ham,See you at the office later.
spam,Special promotion only for you.
spam,"Exclusive deal, act now before it's gone."
spam,Special promotion only for you.
spam,"Claim your lottery reward, click here."
ham,Are we still meeting tomorrow?
ham,Let's catch up for coffee next week.
ham,Let's catch up for coffee next week.
spam,"Claim your lottery reward, click here."
spam,"URGENT! Your account needs verification, click link."
ham,Happy birthday! Have a great year ahead.
spam,Get cheap loans with no credit check!
spam,You are selected for a free vacation package.
ham,Please call me when you are free.
ham,Can you send me the report by tonight?
ham,Let's catch up for coffee next week.
spam,Special promotion only for you.
spam,Win a free iPhone now!!!
ham,Please call me when you are free.
spam,You are selected for a free vacation package.
ham,Thanks for your help today.
ham,See you at the office later.
ham,Please call me when you are free.
ham,How was your weekend trip?
spam,"Congratulations, you have won $1000 cash prize."
ham,How was your weekend trip?
spam,"Congratulations, you have won $1000 cash prize."
ham,Dinner at 7 pm works for me.
ham,Happy birthday! Have a great year ahead.
ham,Please call me when you are free.
spam,Work from home and earn $500 per day.
ham,Please call me when you are free.
ham,Thanks for your help today.
ham,How was your weekend trip?
spam,"Claim your lottery reward, click here."
spam,Work from home and earn $500 per day.
ham,Can you send me the report by tonight?
spam,"Congratulations, you have won $1000 cash prize."
ham,Thanks for your help today.
spam,You are selected for a free vacation package.
ham,Don't forget to bring the documents.
spam,Special promotion only for you.
ham,Can you send me the report by tonight?
ham,Happy birthday! Have a great year ahead.
spam,Work from home and earn $500 per day.
ham,Can you send me the report by tonight?
ham,Please call me when you are free.
spam,Work from home and earn $500 per day.
spam,Limited offer: Buy 1 get 1 free!!!
ham,Are we still meeting tomorrow?
spam,"Exclusive deal, act now before it's gone."
spam,Work from home and earn $500 per day.
ham,Can you send me the report by tonight?
spam,Win a free iPhone now!!!
ham,Dinner at 7 pm works for me.
spam,"URGENT! Your account needs verification, click link."
ham,Don't forget to bring the documents.
ham,Are we still meeting tomorrow?
spam,Work from home and earn $500 per day.
ham,Are we still meeting tomorrow?
spam,Win a free iPhone now!!!
ham,Are we still meeting tomorrow?
ham,Are we still meeting tomorrow?
spam,You are selected for a free vacation package.
spam,Special promotion only for you.
ham,Don't forget to bring the documents.
ham,Thanks for your help today.
ham,Dinner at 7 pm works for me.
ham,Happy birthday! Have a great year ahead.
spam,Special promotion only for you.
spam,Get cheap loans with no credit check!
spam,Special promotion only for you.
ham,Please call me when you are free.
spam,"Claim your lottery reward, click here."
spam,"Exclusive deal, act now before it's gone."
ham,Can you send me the report by tonight?
ham,Thanks for your help today.
spam,Special promotion only for you.
spam,You are selected for a free vacation package.
ham,How was your weekend trip?
ham,Happy birthday! Have a great year ahead.
ham,Are we still meeting tomorrow?
ham,Let's catch up for coffee next week.
spam,"Congratulations, you have won $1000 cash prize."
spam,"Congratulations, you have won $1000 cash prize."
ham,Please call me when you are free.
spam,"Congratulations, you have won $1000 cash prize."
ham,Don't forget to bring the documents.
spam,"URGENT! Your account needs verification, click link."
spam,"URGENT! Your account needs verification, click link."
ham,Don't forget to bring the documents.
ham,See you at the office later.
spam,"Claim your lottery reward, click here."
ham,Are we still meeting tomorrow?
spam,You are selected for a free vacation package.
spam,"URGENT! Your account needs verification, click link."
spam,Work from home and earn $500 per day.
ham,See you at the office later.
ham,Let's catch up for coffee next week.
ham,Are we still meeting tomorrow?
ham,Can you send me the report by tonight?
ham,Can you send me the report by tonight?
ham,See you at the office later.
spam,"URGENT! Your account needs verification, click link."
spam,You are selected for a free vacation package.
ham,Thanks for your help today.
spam,Work from home and earn $500 per day.
spam,"URGENT! Your account needs verification, click link."
spam,Win a free iPhone now!!!
spam,"Exclusive deal, act now before it's gone."
spam,Get cheap loans with no credit check!
ham,Don't forget to bring the documents.
ham,Can you send me the report by tonight?
ham,Let's catch up for coffee next week.
ham,Can you send me the report by tonight?
ham,Happy birthday! Have a great year ahead.
spam,"Congratulations, you have won $1000 cash prize."
spam,You are selected for a free vacation package.
ham,Let's catch up for coffee next week.
ham,How was your weekend trip?
spam,"Congratulations, you have won $1000 cash prize."
ham,See you at the office later.
ham,Thanks for your help today.
spam,Work from home and earn $500 per day.
ham,See you at the office later.
spam,Work from home and earn $500 per day.
spam,"URGENT! Your account needs verification, click link."
spam,Special promotion only for you.
ham,Can you send me the report by tonight?
spam,You are selected for a free vacation package.
ham,How was your weekend trip?
ham,Thanks for your help today.
ham,Please call me when you are free.
spam,"Congratulations, you have won $1000 cash prize."
spam,You are selected for a free vacation package.
ham,Happy birthday! Have a great year ahead.
ham,How was your weekend trip?
ham,See you at the office later.
spam,Special promotion only for you.
ham,Don't forget to bring the documents.
spam,"Congratulations, you have won $1000 cash prize."
ham,Can you send me the report by tonight?
ham,How was your weekend trip?
spam,"Claim your lottery reward, click here."
spam,Special promotion only for you.
spam,Get cheap loans with no credit check!
spam,Special promotion only for you.
spam,Win a free iPhone now!!!
ham,Thanks for your help today.
ham,Thanks for your help today.
spam,You are selected for a free vacation package.
spam,"Congratulations, you have won $1000 cash prize."
ham,Don't forget to bring the documents.
spam,Special promotion only for you.
spam,Limited offer: Buy 1 get 1 free!!!
spam,Limited offer: Buy 1 get 1 free!!!
ham,Can you send me the report by tonight?
spam,You are selected for a free vacation package.
spam,Win a free iPhone now!!!
ham,How was your weekend trip?
spam,"Congratulations, you have won $1000 cash prize."
ham,Thanks for your help today.
spam,Win a free iPhone now!!!
ham,Please call me when you are free.
ham,Don't forget to bring the documents.
spam,Special promotion only for you.
ham,Happy birthday! Have a great year ahead.
ham,Thanks for your help today.
ham,Dinner at 7 pm works for me.
spam,"Claim your lottery reward, click here."
ham,Don't forget to bring the documents.
ham,Dinner at 7 pm works for me.
spam,Get cheap loans with no credit check!
ham,See you at the office later.
ham,Don't forget to bring the documents.
ham,How was your weekend trip?
ham,Can you send me the report by tonight?
ham,Dinner at 7 pm works for me.
spam,Win a free iPhone now!!!
ham,Let's catch up for coffee next week.
ham,Please call me when you are free.
spam,You are selected for a free vacation package.
spam,Win a free iPhone now!!!
spam,Win a free iPhone now!!!
ham,Please call me when you are free.
ham,Please call me when you are free.
spam,You are selected for a free vacation package.
ham,Let's catch up for coffee next week.
ham,Dinner at 7 pm works for me.
spam,Limited offer: Buy 1 get 1 free!!!
ham,Can you send me the report by tonight?
spam,Win a free iPhone now!!!
spam,You are selected for a free vacation package.
ham,Happy birthday! Have a great year ahead.
ham,Let's catch up for coffee next week.
spam,Limited offer: Buy 1 get 1 free!!!
spam,"Exclusive deal, act now before it's gone."
spam,Win a free iPhone now!!!
spam,Special promotion only for you.
spam,You are selected for a free vacation package.
spam,Limited offer: Buy 1 get 1 free!!!
ham,Happy birthday! Have a great year ahead.
ham,Let's catch up for coffee next week.
spam,Limited offer: Buy 1 get 1 free!!!
spam,You are selected for a free vacation package.
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
spam,"Exclusive deal, act now before it's gone."
ham,Don't forget to bring the documents.
ham,Happy birthday! Have a great year ahead.
spam,"Exclusive deal, act now before it's gone."
ham,Let's catch up for coffee next week.
spam,Special promotion only for you.
spam,"URGENT! Your account needs verification, click link."
spam,Limited offer: Buy 1 get 1 free!!!
ham,Don't forget to bring the documents.
ham,Thanks for your help today.
ham,Can you send me the report by tonight?
spam,Win a free iPhone now!!!
spam,"Congratulations, you have won $1000 cash prize."
ham,How was your weekend trip?
spam,Work from home and earn $500 per day.
ham,Happy birthday! Have a great year ahead.
spam,Limited offer: Buy 1 get 1 free!!!
ham,How was your weekend trip?
spam,Limited offer: Buy 1 get 1 free!!!
ham,Dinner at 7 pm works for me.
spam,You are selected for a free vacation package.
ham,Are we still meeting tomorrow?
spam,You are selected for a free vacation package.
spam,Limited offer: Buy 1 get 1 free!!!
spam,"URGENT! Your account needs verification, click link."
ham,Dinner at 7 pm works for me.
ham,Can you send me the report by tonight?
spam,Limited offer: Buy 1 get 1 free!!!
spam,Special promotion only for you.
spam,Win a free iPhone now!!!
spam,"Congratulations, you have won $1000 cash prize."
ham,Thanks for your help today.
ham,Are we still meeting tomorrow?
spam,Win a free iPhone now!!!
ham,Please call me when you are free.
ham,Are we still meeting tomorrow?
ham,Happy birthday! Have a great year ahead.
spam,"URGENT! Your account needs verification, click link."
spam,Limited offer: Buy 1 get 1 free!!!
spam,Win a free iPhone now!!!
ham,See you at the office later.
spam,Win a free iPhone now!!!
ham,Happy birthday! Have a great year ahead.
spam,"Claim your lottery reward, click here."
ham,See you at the office later.
ham,How was your weekend trip?
spam,Limited offer: Buy 1 get 1 free!!!
ham,Thanks for your help today.
ham,Let's catch up for coffee next week.
ham,Are we still meeting tomorrow?
ham,See you at the office later.
spam,"URGENT! Your account needs verification, click link."
ham,Don't forget to bring the documents.
ham,Can you send me the report by tonight?
ham,See you at the office later.
ham,Dinner at 7 pm works for me.
ham,Please call me when you are free.
spam,"URGENT! Your account needs verification, click link."
ham,See you at the office later.
spam,Special promotion only for you.
spam,"URGENT! Your account needs verification, click link."
ham,Don't forget to bring the documents.
spam,You are selected for a free vacation package.
ham,Don't forget to bring the documents.
spam,Limited offer: Buy 1 get 1 free!!!
spam,Work from home and earn $500 per day.
spam,Win a free iPhone now!!!
ham,How was your weekend trip?
ham,Are we still meeting tomorrow?
spam,Work from home and earn $500 per day.
spam,"Exclusive deal, act now before it's gone."
spam,"Exclusive deal, act now before it's gone."
spam,"URGENT! Your account needs verification, click link."
spam,"Congratulations, you have won $1000 cash prize."
spam,"Exclusive deal, act now before it's gone."
ham,How was your weekend trip?
spam,Work from home and earn $500 per day.
spam,Get cheap loans with no credit check!
ham,Happy birthday! Have a great year ahead.
ham,See you at the office later.
ham,Please call me when you are free.
ham,Don't forget to bring the documents.
ham,Are we still meeting tomorrow?
ham,Don't forget to bring the documents.
ham,Don't forget to bring the documents.
ham,Let's catch up for coffee next week.
spam,Win a free iPhone now!!!
ham,Are we still meeting tomorrow?
spam,Limited offer: Buy 1 get 1 free!!!
spam,Get cheap loans with no credit check!
spam,"Claim your lottery reward, click here."
spam,"Exclusive deal, act now before it's gone."
spam,Special promotion only for you.
ham,How was your weekend trip?
spam,Special promotion only for you.
spam,"URGENT! Your account needs verification, click link."
spam,Limited offer: Buy 1 get 1 free!!!
spam,"Claim your lottery reward, click here."
ham,Don't forget to bring the documents.
spam,"URGENT! Your account needs verification, click link."
spam,You are selected for a free vacation package.
spam,You are selected for a free vacation package.
spam,"Exclusive deal, act now before it's gone."
ham,Dinner at 7 pm works for me.
spam,"Exclusive deal, act now before it's gone."
ham,Don't forget to bring the documents.
spam,"Exclusive deal, act now before it's gone."
spam,Get cheap loans with no credit check!
spam,Limited offer: Buy 1 get 1 free!!!
ham,See you at the office later.
ham,Happy birthday! Have a great year ahead.
spam,Win a free iPhone now!!!
ham,Please call me when you are free.
spam,"Exclusive deal, act now before it's gone."
spam,"URGENT! Your account needs verification, click link."
ham,Can you send me the report by tonight?
spam,"Claim your lottery reward, click here."
spam,"Exclusive deal, act now before it's gone."
spam,Limited offer: Buy 1 get 1 free!!!
spam,Win a free iPhone now!!!
ham,Let's catch up for coffee next week.
spam,"Exclusive deal, act now before it's gone."
ham,Can you send me the report by tonight?
spam,Work from home and earn $500 per day.
ham,Don't forget to bring the documents.
ham,Let's catch up for coffee next week.
spam,Special promotion only for you.
ham,Thanks for your help today.
ham,How was your weekend trip?
spam,You are selected for a free vacation package.
ham,How was your weekend trip?
ham,Don't forget to bring the documents.
ham,Thanks for your help today.
ham,Please call me when you are free.
ham,Dinner at 7 pm works for me.
ham,Are we still meeting tomorrow?
spam,Limited offer: Buy 1 get 1 free!!!
spam,Special promotion only for you.
ham,Happy birthday! Have a great year ahead.
spam,You are selected for a free vacation package.
spam,Work from home and earn $500 per day.
spam,Get cheap loans with no credit check!
ham,Are we still meeting tomorrow?
spam,Limited offer: Buy 1 get 1 free!!!
spam,You are selected for a free vacation package.
spam,You are selected for a free vacation package.
spam,Limited offer: Buy 1 get 1 free!!!
spam,You are selected for a free vacation package.
spam,"Congratulations, you have won $1000 cash prize."
ham,Let's catch up for coffee next week.
spam,"Claim your lottery reward, click here."
spam,"URGENT! Your account needs verification, click link."
spam,"URGENT! Your account needs verification, click link."
spam,"URGENT! Your account needs verification, click link."
spam,Win a free iPhone now!!!
ham,Are we still meeting tomorrow?
spam,"URGENT! Your account needs verification, click link."
ham,Can you send me the report by tonight?
ham,Happy birthday! Have a great year ahead.
spam,"Congratulations, you have won $1000 cash prize."
